id,title,authors,year,field,source_type,publication,doi,url,relevance_summary,review_status,last_reviewed_at,notes,tags
SRC-FRISTON-2010-FEP,The free-energy principle: a unified brain theory?,Karl Friston,2010,computational_neuroscience,review,Nature Reviews Neuroscience,10.1038/nrn2787,https://www.nature.com/articles/nrn2787,"Supports the broad idea that perception, action, learning, and self-organization can be framed as free-energy minimization under generative models.",reviewed,2026-05-24,"Use as theoretical support, not as proof that the application implements biological FEP.",#research #neuroscience #free_energy #active_inference
SRC-CLARK-2013-PREDICTIVE,Whatever next? Predictive brains situated agents and the future of cognitive science,Andy Clark,2013,cognitive_neuroscience,target_article,Behavioral and Brain Sciences,10.1017/S0140525X12000477,https://pubmed.ncbi.nlm.nih.gov/23663408/,"Supports predictive-processing framing for hierarchical prediction, situated agents, action, attention, generative models, and prediction error.",reviewed,2026-05-24,"Use as conceptual support for predictive runtime metaphors and hierarchy, with limitations recorded per claim.",#research #neuroscience #predictive_processing #cognitive_science
SRC-BASTOS-2012-MICROCIRCUITS,Canonical microcircuits for predictive coding,Andre M. Bastos; W. Martin Usrey; Rick A. Adams; George R. Mangun; Pascal Fries; Karl J. Friston,2012,systems_neuroscience,perspective,Neuron,10.1016/j.neuron.2012.10.038,https://pubmed.ncbi.nlm.nih.gov/23177956/,"Supports predictive coding as a biologically grounded account involving cortical hierarchy, prediction, and prediction-error message passing.",reviewed,2026-05-24,"Good source when claims mention prediction-error style hierarchy; do not overstate as direct software equivalence.",#research #neuroscience #predictive_coding #cortical_microcircuits
SRC-RAICHLE-2001-DMN,A default mode of brain function,M. E. Raichle; A. M. MacLeod; A. Z. Snyder; W. J. Powers; D. A. Gusnard; G. L. Shulman,2001,systems_neuroscience,research_article,Proceedings of the National Academy of Sciences,10.1073/pnas.98.2.676,https://pubmed.ncbi.nlm.nih.gov/11209064/,"Supports baseline/default-mode framing for internally organized brain activity and goal-directed modulation.",reviewed,2026-05-24,"Use for reflective/background state metaphors, not as evidence that any software module is conscious.",#research #neuroscience #default_mode #baseline_state
SRC-POSNER-PETERSEN-1990-ATTENTION,The attention system of the human brain,Michael I. Posner; Steven E. Petersen,1990,cognitive_neuroscience,review,Annual Review of Neuroscience,10.1146/annurev.ne.13.030190.000325,https://www.annualreviews.org/content/journals/10.1146/annurev.ne.13.030190.000325,"Supports attention as a separable cognitive system with orienting, detecting, and executive aspects.",reviewed,2026-05-24,"Use for attention-boundary and perception-stage framing only.",#research #neuroscience #attention #cognitive_control
SRC-CORBETTA-SHULMAN-2002-ATTENTION,Control of goal-directed and stimulus-driven attention in the brain,Maurizio Corbetta; Gordon L. Shulman,2002,cognitive_neuroscience,review,Nature Reviews Neuroscience,10.1038/nrn755,https://www.nature.com/articles/nrn755,"Supports the distinction between goal-directed top-down attention and stimulus-driven salient-event detection.",reviewed,2026-05-24,"Useful for perception and attention-intake claims; avoid treating software salience rules as neural equivalence.",#research #neuroscience #attention #salience
SRC-ITTI-KOCH-2001-SALIENCE,Computational modelling of visual attention,Laurent Itti; Christof Koch,2001,computational_neuroscience,review,Nature Reviews Neuroscience,10.1038/35058500,https://www.nature.com/articles/35058500,"Supports computational saliency-map framing for selecting relevant information under bottom-up and contextual influences.",reviewed,2026-05-24,"Use as computational inspiration for salience filtering, not as direct visual-system implementation proof.",#research #neuroscience #attention #salience #computational_model
SRC-MILLER-COHEN-2001-PFC,An integrative theory of prefrontal cortex function,Earl K. Miller; Jonathan D. Cohen,2001,cognitive_neuroscience,review,Annual Review of Neuroscience,10.1146/annurev.neuro.24.1.167,https://www.annualreviews.org/doi/10.1146/annurev.neuro.24.1.167,"Supports cognitive-control framing in which goal-relevant representations bias processing and behavior.",reviewed,2026-05-24,"Use for planning/executive-control analogy, not as proof of biological executive function.",#research #neuroscience #cognitive_control #planning
SRC-SQUIRE-ALVAREZ-1995-CONSOLIDATION,Retrograde amnesia and memory consolidation: a neurobiological perspective,Larry R. Squire; Pablo Alvarez,1995,systems_neuroscience,review,Current Opinion in Neurobiology,10.1016/0959-4388(95)80023-9,https://cir.nii.ac.jp/crid/1364233269519815936,"Supports systems-consolidation framing for how memories can become reorganized over time.",reviewed,2026-05-24,"Use for consolidation metaphor and architecture support; app reflection is an engineered process.",#research #neuroscience #memory #consolidation
SRC-FRANKLAND-BONTEMPI-2005-MEMORY,The organization of recent and remote memories,Paul W. Frankland; Bruno Bontempi,2005,systems_neuroscience,review,Nature Reviews Neuroscience,10.1038/nrn1607,https://www.nature.com/articles/nrn1607,"Supports recent-to-remote memory organization, reactivation, and system-level reorganization framing.",reviewed,2026-05-24,"Use for reflection/consolidation claims with clear non-biological limitations.",#research #neuroscience #memory #consolidation
SRC-DIEKELMANN-BORN-2010-SLEEP-MEMORY,The memory function of sleep,Susanne Diekelmann; Jan Born,2010,systems_neuroscience,review,Nature Reviews Neuroscience,10.1038/nrn2762,https://www.nature.com/articles/nrn2762,"Supports offline memory consolidation and reorganization framing.",reviewed,2026-05-24,"Use for background reflection analogy only; the app does not model sleep physiology.",#research #neuroscience #memory #sleep #consolidation
SRC-PESSOA-2008-EMOTION-COGNITION,On the relationship between emotion and cognition,Luiz Pessoa,2008,affective_neuroscience,review,Nature Reviews Neuroscience,10.1038/nrn2317,https://www.nature.com/articles/nrn2317,"Supports integrated emotion-cognition framing and cautions against overly isolated emotion versus cognition modules.",reviewed,2026-05-24,"Use for affective signal integration, not for claims of human emotion.",#research #neuroscience #affect #emotion #cognition
SRC-DAMASIO-1996-SOMATIC-MARKER,The somatic marker hypothesis and the possible functions of the prefrontal cortex,Antonio R. Damasio,1996,affective_neuroscience,hypothesis_article,Philosophical Transactions of the Royal Society B,10.1098/rstb.1996.0125,https://pubmed.ncbi.nlm.nih.gov/8941953/,"Supports the idea that affective/body-state signals can bias reasoning and decision-making under uncertainty.",reviewed,2026-05-24,"Use as one hypothesis source and keep limitations explicit.",#research #neuroscience #affect #decision_making
SRC-BERRIDGE-ROBINSON-2003-REWARD,Parsing reward,Kent C. Berridge; Terry E. Robinson,2003,affective_neuroscience,review,Trends in Neurosciences,10.1016/S0166-2236(03)00233-9,https://www.sciencedirect.com/science/article/pii/S0166223603002339,"Supports separating motivation, affect, learning, wanting, and liking in reward-related behavior.",reviewed,2026-05-24,"Use for motivation component framing, not for implementing reward circuitry.",#research #neuroscience #motivation #reward
SRC-PANKSEPP-1998-AFFECTIVE,Affective Neuroscience: The Foundations of Human and Animal Emotions,Jaak Panksepp,1998,affective_neuroscience,book,Oxford University Press,,https://academic.oup.com/book/53534,"Supports affective neuroscience framing in which emotional systems influence behavior and learning.",reviewed,2026-05-24,"Book source; use carefully and never as proof of machine feeling.",#research #neuroscience #affect #emotion
SRC-AMODIO-FRITH-2006-SOCIAL,Meeting of minds: the medial frontal cortex and social cognition,David M. Amodio; Chris D. Frith,2006,social_neuroscience,review,Nature Reviews Neuroscience,10.1038/nrn1884,https://cir.nii.ac.jp/crid/1363107368466543232,"Supports social cognition framing involving self, others, action monitoring, and social inference.",reviewed,2026-05-24,"Use for role/social-posture analogies, not for claiming social cognition in the biological sense.",#research #neuroscience #social_cognition #role
SRC-FRITH-FRITH-2006-MENTALIZING,The neural basis of mentalizing,Uta Frith; Chris D. Frith,2006,social_neuroscience,minireview,Neuron,10.1016/j.neuron.2006.05.001,https://www.sciencedirect.com/science/article/pii/S0896627306003448,"Supports mentalizing and perspective-taking as social-cognition processes relevant to interaction stance.",reviewed,2026-05-24,"Use for role/perspective-taking framing with strict software limitations.",#research #neuroscience #mentalizing #social_cognition
SRC-ADOLPHS-1999-SOCIAL,Social cognition and the human brain,Ralph Adolphs,1999,social_neuroscience,review,Trends in Cognitive Sciences,10.1016/S1364-6613(99)01399-6,https://cir.nii.ac.jp/crid/1360574096537462784,"Supports broad social-cognition framing for interpreting others and guiding social behavior.",reviewed,2026-05-24,"Use as social-cognition support for role-selection metaphors, not as biological equivalence.",#research #neuroscience #social_cognition #role
SRC-COWAN-2001-WM4,The magical number 4 in short-term memory: a reconsideration of mental storage capacity,Nelson Cowan,2001,cognitive_neuroscience,target_article,Behavioral and Brain Sciences,10.1017/S0140525X01003922,https://pubmed.ncbi.nlm.nih.gov/11515286/,"Supports limited short-term and working-memory capacity framing for keeping active context compact.",reviewed,2026-05-24,"Use for UI information-density rationale only; it does not prove a specific interface is usable.",#research #neuroscience #working_memory #ui
SRC-LUCK-VOGEL-1997-VWM,The capacity of visual working memory for features and conjunctions,Steven J. Luck; Edward K. Vogel,1997,cognitive_neuroscience,research_article,Nature,10.1038/36846,https://www.nature.com/articles/36846,"Supports visual working-memory capacity limits for object-level visual information.",reviewed,2026-05-24,"Use for visual UI density and grouping rationale; not as proof of route behavior or accessibility.",#research #neuroscience #visual_working_memory #ui
