"id","type","name","path","description","status","owner","dependencies","related_entities","evidence","updated_at"
"agent:agent-checklists:838457e2d6","agent","Agent Checklists",".agents/checklists/README.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf|test:readme-md:e37a64e24a",".agents/checklists/README.md","2026-05-08T18:16:58.945Z"
"agent:anti-regression-system:0b625a09b8","agent","Anti-Regression System",".agents/core/anti-regression.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/anti-regression.md","2026-05-08T18:16:58.522Z"
"agent:execution-loop:7c9338887f","agent","Execution Loop",".agents/core/execution-loop.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/execution-loop.md","2026-05-08T18:16:58.489Z"
"agent:mission-control:469f692225","agent","Mission Control",".agents/core/mission-control.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/mission-control.md","2026-05-23T01:40:14.480Z"
"agent:agent-operating-system:9ad64d43fa","agent","Agent Operating System",".agents/core/operating-system.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/operating-system.md","2026-05-23T01:40:14.481Z"
"agent:product-delivery-system:12aa56ea8a","agent","Product Delivery System",".agents/core/product-delivery-system.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/product-delivery-system.md","2026-05-10T22:31:51.319Z"
"agent:product-intake-and-decision-handshake:33d1a8be55","agent","Product Intake And Decision Handshake",".agents/core/product-intake-and-decision-handshake.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/product-intake-and-decision-handshake.md","2026-05-10T22:43:23.351Z"
"agent:project-memory-index:00559ea7ef","agent","Project Memory Index",".agents/core/project-memory-index.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/project-memory-index.md","2026-05-24T18:08:49.280Z"
"agent:quality-gates:56a7f77b4d","agent","Quality Gates",".agents/core/quality-gates.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/quality-gates.md","2026-05-10T00:11:12.543Z"
"agent:requirements-verification-system:2898f2895d","agent","Requirements Verification System",".agents/core/requirements-verification-system.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/core/requirements-verification-system.md","2026-05-10T23:29:06.582Z"
"agent:backend-builder:a995bd8f68","agent","backend-builder",".agents/prompts/backend-builder.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/prompts/backend-builder.md","2026-05-10T23:07:14.632Z"
"agent:code-reviewer:57ae7ca6fa","agent","code-reviewer",".agents/prompts/code-reviewer.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/prompts/code-reviewer.md","2026-05-10T23:08:33.639Z"
"agent:db-migrations:8d66947e5d","agent","db-migrations",".agents/prompts/db-migrations.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/prompts/db-migrations.md","2026-04-16T00:46:06.395Z"
"agent:frontend-builder:2ff92f1a03","agent","frontend-builder",".agents/prompts/frontend-builder.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/prompts/frontend-builder.md","2026-05-10T23:07:14.526Z"
"agent:ops-release:6317d5413a","agent","ops-release",".agents/prompts/ops-release.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/prompts/ops-release.md","2026-04-28T17:44:59.878Z"
"agent:planner:48fbdeb721","agent","planner",".agents/prompts/planner.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/prompts/planner.md","2026-05-10T23:05:44.323Z"
"agent:product-docs:136c438e04","agent","product-docs",".agents/prompts/product-docs.md","Agent instruction or state document.","implemented","Engineering Delivery Lead","","module:agents:7f96ca12bf",".agents/prompts/product-docs.md","2026-04-16T00:46:06.390Z"
