id,node_id,evidence_type,status,evidence_path,command,last_verified_at,summary,notes,tags
EVID-APPCHAT-IMPLEMENTATION,FEAT-APP-CHAT,implementation,verified,.codex/tasks/PRJ-1265-chat-attachments-functional-pass.md,,2026-05-24,Functional chat attachment pass implemented under existing backend text contract,True binary/media upload remains future backend scope.,"#evidence #chat #implementation"
EVID-APPCHAT-TEST,FEAT-APP-CHAT,test,verified,web/scripts/chat-transcript-characterization.mjs,npm run test:chat-transcript,2026-05-24,Chat transcript characterization passed,status=ok appSourceCount=2 telegramSourceCount=2.,"#evidence #chat #test"
EVID-APPCHAT-API-PROOF,API-APP-CHAT-MESSAGE,behavior,verified,backend/tests/test_api_routes.py,python -m pytest -q tests/test_api_routes.py::test_app_chat_message_runs_runtime_under_authenticated_user tests/test_api_routes.py::test_app_chat_message_localizes_runtime_timestamp_from_profile_utc_offset tests/test_api_routes.py::test_app_chat_message_exposes_bounded_pending_connector_confirmation,2026-05-24,App chat message API proof refreshed with authenticated user runtime handoff localized timestamp and pending connector confirmation contract tests,This is local API/runtime contract proof for text plus serialized attachment context and does not claim native binary/media upload or production chat smoke.,"#evidence #chat #api #runtime #verified"
EVID-APPCHAT-EVENT-PROOF,EVENT-APP-CHAT-TURN,behavior,verified,backend/tests/test_api_routes.py,python -m pytest -q tests/test_api_routes.py::test_app_chat_message_runs_runtime_under_authenticated_user tests/test_runtime_pipeline.py::test_runtime_pipeline_api_source,2026-05-24,App chat turn event proof refreshed through authenticated app chat runtime handoff and runtime API source pipeline tests,This proves the current normalized event path for app chat and does not claim production Telegram webhook or native binary upload behavior.,"#evidence #chat #event #runtime #verified"
EVID-WEB-ROUTES,FEAT-WEB-SHELL,behavior,verified,web/scripts/route-smoke.mjs,npm run smoke:routes,2026-05-24,Route smoke passed route_count=14 status=ok,Latest run from PRJ-1265.,"#evidence #web #routes"
EVID-RUNTIME-LEDGER,FEAT-FOREGROUND-RUNTIME,behavior,verified,.agents/state/module-confidence-ledger.md,,2026-05-14,Runtime confidence row is VERIFIED with backend test and production smoke evidence,See AVIARY-COGNITIVE-RUNTIME-001.,"#evidence #runtime"
EVID-MEMORY-LEDGER,FEAT-MEMORY-FLOW,behavior,verified,.agents/state/module-confidence-ledger.md,,2026-05-14,Memory confidence row is VERIFIED with retrieval and production proof,See AVIARY-MEMORY-001.,"#evidence #memory"
EVID-EVENT-INGRESS-FEATURE-PROOF,FEAT-EVENT-INGRESS,behavior,verified,.codex/tasks/PRJ-1289-event-ingress-api-gap-closure.md,,2026-05-24,Event ingress feature proof is backed by explicit API event evidence and the verified event ingress runtime chain,This is graph feature-level proof and does not replace production event ingress smoke.,"#evidence #event #feature #verified"
EVID-DOC-RUNTIME-FLOW,DOC-RUNTIME-FLOW,documentation,verified,docs/architecture/15_runtime_flow.md,,2026-05-24,Runtime flow documentation is mapped as the architecture source of truth for canonical AION stage order and event-to-response flow,Documentation evidence proves source-of-truth coverage and does not replace runtime tests or production smoke.,"#evidence #docs #runtime #verified"
EVID-DOC-MEMORY-SYSTEM,DOC-MEMORY-SYSTEM,documentation,verified,docs/architecture/04_memory_system.md,,2026-05-24,Memory system documentation is mapped as the architecture source of truth for memory persistence retrieval and consolidation posture,Documentation evidence proves source-of-truth coverage and does not replace memory repository tests or production memory smoke.,"#evidence #docs #memory #verified"
EVID-PROMPT-OPENAI-RUNTIME-PROOF,PROMPT-OPENAI-RUNTIME,test,verified,backend/tests/test_openai_prompting.py,python -m pytest -q tests/test_openai_prompting.py tests/test_response_budget_policy.py tests/test_openai_client.py::test_openai_client_generate_reply_uses_api_chat_response_budget,2026-05-24,OpenAI runtime prompting proof refreshed with prompt builder response budget policy and API chat reply budget tests,This proves local prompt and budget contracts and does not claim live provider behavior.,"#evidence #prompt #openai #test #verified"
EVID-SERVICE-RUNTIME-ORCHESTRATOR-PROOF,SERVICE-RUNTIME-ORCHESTRATOR,test,verified,backend/tests/test_runtime_pipeline.py,python -m pytest -q tests/test_runtime_pipeline.py::test_runtime_pipeline_api_source tests/test_runtime_pipeline.py::test_runtime_pipeline_contract_smoke_pins_stage_and_action_boundary_invariants,2026-05-24,Runtime orchestrator proof refreshed with API source and stage/action-boundary contract smoke tests,This is local orchestrator contract proof and does not replace production runtime smoke.,"#evidence #runtime #service #test #verified"
EVID-SERVICE-MEMORY-REPOSITORY-PROOF,SERVICE-MEMORY-REPOSITORY,test,verified,backend/tests/test_memory_repository.py,python -m pytest -q tests/test_memory_repository.py::test_memory_repository_persists_structured_episode_payload tests/test_memory_repository.py::test_memory_repository_projects_recent_chat_transcript_in_chronological_order,2026-05-24,Memory repository proof refreshed with structured episodic payload persistence and recent chat transcript projection tests,This is local repository contract proof and does not replace production memory smoke.,"#evidence #memory #repository #test #verified"
EVID-TEST-API-ROUTES-PROOF,TEST-API-ROUTES,test,verified,backend/tests/test_api_routes.py,python -m pytest -q tests/test_api_routes.py::test_event_endpoint_contract_smoke_pins_public_shape_and_debug_gate,2026-05-24,Backend API routes test node proof refreshed with public/debug event endpoint contract smoke test,This is test-suite evidence metadata and not a claim that every API route was rerun.,"#evidence #test #api #verified"
EVID-TEST-MEMORY-REPOSITORY-PROOF,TEST-MEMORY-REPOSITORY,test,verified,backend/tests/test_memory_repository.py,python -m pytest -q tests/test_memory_repository.py::test_memory_repository_persists_structured_episode_payload tests/test_memory_repository.py::test_memory_repository_projects_recent_chat_transcript_in_chronological_order,2026-05-24,Memory repository test node proof refreshed with core persistence and transcript projection checks,This is test-suite evidence metadata and not a full memory suite rerun.,"#evidence #test #memory #verified"
