id,source_id,relation_type,target_id,status,description,evidence,notes,tags
AUTO-REL-FILE-ARCHITECTURE-API-MD-DE44016D-DOCUMENTS-FILE-WEB-SRC-LIB-API-TS-19A6B5EA-48C2E1E7,FILE-ARCHITECTURE-API-MD-DE44016D,documents,FILE-WEB-SRC-LIB-API-TS-19A6B5EA,implemented,Doc `architecture/api.md` appears to document `FILE-WEB-SRC-LIB-API-TS-19A6B5EA`.,architecture/api.md,Auto-discovered relation; verify before using as release-critical proof.,#auto #docs
AUTO-REL-FILE-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-D6B7DC71-PARENT-OF-PYCLASS-BACKEND-APP-ED31C4DC,FILE-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-D6B7DC71,parent_of,PYCLASS-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-AFFECTIVECLASSIFIERCLIENT-60272C3A,implemented,`backend/app/affective/assessor.py` contains class `AffectiveClassifierClient`.,backend/app/affective/assessor.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-D6B7DC71-PARENT-OF-PYCLASS-BACKEND-APP-AD030572,FILE-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-D6B7DC71,parent_of,PYCLASS-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-AFFECTIVEASSESSOR-DFF10A90,implemented,`backend/app/affective/assessor.py` contains class `AffectiveAssessor`.,backend/app/affective/assessor.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-AGENTS-CONTEXT-PY-3BB4C3E9-PARENT-OF-PYCLASS-BACKEND-APP-AGE-95AA0462,FILE-BACKEND-APP-AGENTS-CONTEXT-PY-3BB4C3E9,parent_of,PYCLASS-BACKEND-APP-AGENTS-CONTEXT-PY-CONTEXTAGENT-1E5E3F0C,implemented,`backend/app/agents/context.py` contains class `ContextAgent`.,backend/app/agents/context.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-AGENTS-PERCEPTION-PY-1DFE7B6F-PARENT-OF-PYCLASS-BACKEND-APP-BC6FCBE8,FILE-BACKEND-APP-AGENTS-PERCEPTION-PY-1DFE7B6F,parent_of,PYCLASS-BACKEND-APP-AGENTS-PERCEPTION-PY-PERCEPTIONAGENT-3361495F,implemented,`backend/app/agents/perception.py` contains class `PerceptionAgent`.,backend/app/agents/perception.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-AGENTS-PLANNING-PY-5545B8BB-PARENT-OF-PYCLASS-BACKEND-APP-AG-050CC70C,FILE-BACKEND-APP-AGENTS-PLANNING-PY-5545B8BB,parent_of,PYCLASS-BACKEND-APP-AGENTS-PLANNING-PY-PLANNINGAGENT-F41CA18D,implemented,`backend/app/agents/planning.py` contains class `PlanningAgent`.,backend/app/agents/planning.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-AGENTS-ROLE-PY-84E21AE8-PARENT-OF-PYCLASS-BACKEND-APP-AGENTS-EBEF0042,FILE-BACKEND-APP-AGENTS-ROLE-PY-84E21AE8,parent_of,PYCLASS-BACKEND-APP-AGENTS-ROLE-PY-ROLEAGENT-50E01AAA,implemented,`backend/app/agents/role.py` contains class `RoleAgent`.,backend/app/agents/role.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-API-HEALTH-RESPONSE-PY-33D397FB-PARENT-OF-PYCLASS-BACKEND-AP-3BC68A0A,FILE-BACKEND-APP-API-HEALTH-RESPONSE-PY-33D397FB,parent_of,PYCLASS-BACKEND-APP-API-HEALTH-RESPONSE-PY-HEALTHRESPONSESECTIONS-6FA1E7ED,implemented,`backend/app/api/health_response.py` contains class `HealthResponseSections`.,backend/app/api/health_response.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-API-HEALTH-RESPONSE-PY-33D397FB-PARENT-OF-PYFUNC-BACKEND-APP-989635FA,FILE-BACKEND-APP-API-HEALTH-RESPONSE-PY-33D397FB,parent_of,PYFUNC-BACKEND-APP-API-HEALTH-RESPONSE-PY-BUILD-HEALTH-RESPONSE-33ECFDAF,implemented,`backend/app/api/health_response.py` contains function `build_health_response`.,backend/app/api/health_response.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
AUTO-REL-FILE-BACKEND-APP-API-ROUTES-PY-F2EAE12B-PARENT-OF-PYFUNC-BACKEND-APP-API-ROUT-03CBCAC7,FILE-BACKEND-APP-API-ROUTES-PY-F2EAE12B,parent_of,PYFUNC-BACKEND-APP-API-ROUTES-PY-RUNTIME-FROM-REQUEST-FE129D45,implemented,`backend/app/api/routes.py` contains function `_runtime_from_request`.,backend/app/api/routes.py,Auto-discovered relation; verify before using as release-critical proof.,#auto #contains
