id,name,feature_id,status,confidence,trigger_node_id,ordered_node_ids,implementation_evidence,test_evidence,behavior_evidence,connection_evidence,documentation_evidence,missing_links,risk_level,last_verified_at,notes,tags
CHAIN-APP-CHAT-MESSAGE,App chat message execution chain,FEAT-APP-CHAT,verified,high,UI-CHAT-COMPOSER,UI-CHAT-COMPOSER>API-APP-CHAT-MESSAGE>EVENT-APP-CHAT-TURN>SERVICE-RUNTIME-ORCHESTRATOR>SERVICE-MEMORY-REPOSITORY>MODEL-AION-MEMORY>SERVICE-DELIVERY-ROUTER>TEST-CHAT-TRANSCRIPT>DOC-PIPELINE-APP-CHAT,PRJ-1265 and backend/app/api/routes.py,npm run test:chat-transcript and backend/tests/test_api_routes.py,PRJ-1265 smoke route_count=14 and chat transcript PASS,relations REL-APPCHAT-001..010,DOC-PIPELINE-APP-CHAT,None,high,2026-05-24,Current chain covers text plus serialized attachment context under existing API contract; native binary upload remains future backend scope outside this verified chain.,"#chain #chat #verified"
CHAIN-CHAT-COGNITIVE-BELT,Chat cognitive belt context-strip chain,FEAT-APP-CHAT,verified,medium,UI-CHAT-COGNITIVE-BELT,UI-CHAT-COGNITIVE-BELT>COMP-WEB-APP>TEST-WEB-ROUTE-SMOKE>TEST-CHAT-TRANSCRIPT>DOC-FRONTEND-ROUTE-MAP,web/src/components/chat.tsx and web/src/App.tsx,web/scripts/route-smoke.mjs and web/scripts/chat-transcript-characterization.mjs,Route smoke and transcript characterization prove rendered cognitive context strip presence within authenticated chat flow,REL-APPCHAT-011..013,DOC-FRONTEND-ROUTE-MAP,None,medium,2026-05-24,Research support remains design rationale while route/transcript tests provide local UI behavior proof.,"#chain #chat #ui #verified"
CHAIN-WEB-ROUTE-SMOKE,Web shell route proof chain,FEAT-WEB-SHELL,verified,high,COMP-WEB-APP,COMP-WEB-APP>TEST-WEB-ROUTE-SMOKE>DOC-FRONTEND-ROUTE-MAP,web/src/App.tsx and route manifest,npm run smoke:routes,npm run smoke:routes route_count=14 status=ok,REL-WEB-001..006,DOC-FRONTEND-ROUTE-MAP,None,medium,2026-05-24,Route smoke is the broad route proof before deeper UX screenshot gates.,"#chain #web #routes"
CHAIN-PROFILE-SETTINGS,Profile settings execution chain,FEAT-PROFILE-SETTINGS,verified,high,PAGE-SETTINGS,PAGE-SETTINGS>COMP-WEB-APP>API-APP-ME>MODEL-AION-PROFILE>TEST-PREFERENCES>DOC-DATA-REFERENCE,web/src/App.tsx and backend/app/api/routes.py,backend/tests/test_preferences.py and backend/tests/test_api_routes.py,PRJ-1279 focused backend settings proof plus web route smoke,REL-PROFILE-001..003 and REL-WEB-005,DOC-API-REFERENCE and DOC-DATA-REFERENCE,None,medium,2026-05-24,Focused profile/settings chain refreshed with backend API/preference tests web build and route smoke proof.,"#chain #profile #verified"
CHAIN-APP-AUTH,App auth session execution chain,FEAT-PROFILE-SETTINGS,verified,high,COMP-WEB-APP,COMP-WEB-APP>API-APP-AUTH>MODEL-AION-PROFILE>TEST-API-ROUTES>DOC-API-REFERENCE,web/src/lib/api.ts and backend/app/api/routes.py,backend/tests/test_api_routes.py auth session tests,Focused pytest for register session requirement login logout and me roundtrip,REL-AUTH-001..004,DOC-API-REFERENCE,None,high,2026-05-24,Auth chain maps app shell authentication through API profile/session persistence tests and docs without changing auth runtime behavior.,"#chain #auth #api #verified"
CHAIN-DATA-MODEL-SCHEMA,Data model schema proof chain,FEAT-DATA-MODEL,verified,high,FEAT-DATA-MODEL,FEAT-DATA-MODEL>MODEL-AION-MEMORY>MODEL-AION-PROFILE>TEST-SCHEMA-BASELINE>DOC-DATA-REFERENCE,backend/app/memory/models.py and backend/migrations/versions,backend/tests/test_schema_baseline.py,Schema baseline pytest verifies expected tables named unique constraints payload column and Alembic head parity,REL-DATA-001..004,DOC-DATA-REFERENCE,None,high,2026-05-24,Data model chain maps core memory/profile/auth schema ownership through schema baseline tests and data reference docs without changing schema behavior.,"#chain #data #schema #verified"
CHAIN-TOOLS-OVERVIEW,Tools overview execution chain,FEAT-TOOLS,verified,high,PAGE-TOOLS,PAGE-TOOLS>API-TOOLS-OVERVIEW>MODEL-AION-PROFILE>TEST-CONNECTOR-POLICY>DOC-TOOLS-PIPELINE,web/src/App.tsx and backend/app/api/routes.py,backend/tests/test_connector_policy.py and backend/tests/test_api_routes.py,PRJ-1280 and PRJ-1293 focused backend tools proof plus Tools directory characterization and route smoke,REL-TOOLS-001..003,DOC-TOOLS-PIPELINE,None,medium,2026-05-24,Focused tools overview chain refreshed with backend API/connector policy tests web build route smoke and localized Tools directory characterization; live provider credential activation remains blocked/deferred outside local overview verification.,"#chain #tools #verified"
CHAIN-TELEGRAM-LINK-DELIVERY,Telegram link and delivery chain,FEAT-TELEGRAM,verified,high,PAGE-TOOLS,PAGE-TOOLS>API-TOOLS-OVERVIEW>FEAT-TELEGRAM>SERVICE-DELIVERY-ROUTER>TEST-API-ROUTES>TEST-DELIVERY-ROUTER>DOC-TOOLS-PIPELINE,web/src/components/tools.tsx and backend/app/api/routes.py and backend/app/integrations/delivery_router.py,backend/tests/test_api_routes.py and backend/tests/test_delivery_router.py,PRJ-1297 focused Telegram link start confirm linked identity and delivery transport proof pack,REL-TELEGRAM-001..006,DOC-TOOLS-PIPELINE,None,medium,2026-05-24,Local Telegram linking and delivery transport path is verified with focused API and delivery router tests; live operator credential activation remains deployment-specific.,"#chain #telegram #verified"
CHAIN-PERSONALITY-OVERVIEW,Personality learned-state overview chain,FEAT-LEARNED-STATE,verified,high,PAGE-PERSONALITY,PAGE-PERSONALITY>API-PERSONALITY-OVERVIEW>SERVICE-MEMORY-REPOSITORY>MODEL-AION-MEMORY>TEST-API-ROUTES>DOC-MEMORY-SYSTEM,web/src/App.tsx and backend/app/api/routes.py,backend/tests/test_api_routes.py and backend/tests/test_memory_repository.py,PRJ-1281 focused personality API memory repository web build and route smoke proof,REL-PERSONALITY-001..002 and REL-WEB-003,DOC-MEMORY-SYSTEM,None,medium,2026-05-24,Focused personality overview chain refreshed with backend API test memory repository tests web build and route smoke proof.,"#chain #personality #memory #verified"
CHAIN-EVENT-INGRESS,General event ingress runtime chain,FEAT-EVENT-INGRESS,verified,high,API-EVENT-INGRESS,FEAT-EVENT-INGRESS>API-EVENT-INGRESS>EVENT-APP-CHAT-TURN>FEAT-FOREGROUND-RUNTIME>SERVICE-RUNTIME-ORCHESTRATOR>FEAT-MEMORY-FLOW>SERVICE-MEMORY-REPOSITORY>MODEL-AION-MEMORY>TEST-RUNTIME-PIPELINE>DOC-RUNTIME-FLOW,backend/app/api/routes.py and backend/app/core/runtime.py,backend/tests/test_runtime_pipeline.py,Module ledger AVIARY-COGNITIVE-RUNTIME-001 verified,REL-EVENT-001 REL-EVENT-002 and REL-RUNTIME-001..005,DOC-RUNTIME-FLOW,None,high,2026-05-24,Canonical AION event path with feature anchors for event ingress foreground runtime and memory flow.,"#chain #runtime #event #verified"
