id,source_id,relation_type,target_id,status,description,evidence,notes,tags
REL-APPCHAT-001,FEAT-APP-CHAT,parent_of,UI-CHAT-COMPOSER,verified,App chat owns the chat composer surface,PRJ-1265,,"#chat #ui"
REL-APPCHAT-002,UI-CHAT-COMPOSER,calls,API-APP-CHAT-MESSAGE,verified,Composer submits messages through the existing app chat message API,web/src/lib/api.ts,Attachment context is serialized into text in PRJ-1265.,"#chat #api"
REL-APPCHAT-003,API-APP-CHAT-MESSAGE,calls,SERVICE-RUNTIME-ORCHESTRATOR,verified,Chat route hands text/event into runtime orchestrator,backend/app/api/routes.py,,"#chat #runtime"
REL-APPCHAT-004,SERVICE-RUNTIME-ORCHESTRATOR,calls,SERVICE-MEMORY-REPOSITORY,verified,Runtime retrieves and writes memory through repository boundary,backend/app/core/runtime.py,,"#runtime #memory"
REL-APPCHAT-005,SERVICE-MEMORY-REPOSITORY,writes,MODEL-AION-MEMORY,verified,Repository persists episodic memory rows,backend/app/memory/repository.py,,"#memory #database"
REL-APPCHAT-006,SERVICE-RUNTIME-ORCHESTRATOR,calls,SERVICE-DELIVERY-ROUTER,verified,Runtime uses delivery routing for response transport,backend/app/integrations/delivery_router.py,,"#runtime #delivery"
REL-APPCHAT-007,TEST-CHAT-TRANSCRIPT,verifies,UI-CHAT-COMPOSER,verified,Chat transcript characterization verifies transcript/source behavior,npm run test:chat-transcript,,"#test #chat"
REL-APPCHAT-008,TEST-API-ROUTES,verifies,API-APP-CHAT-MESSAGE,verified,Backend API tests cover app chat route contracts,backend/tests/test_api_routes.py,,"#test #api"
REL-APPCHAT-009,TEST-RUNTIME-PIPELINE,verifies,SERVICE-RUNTIME-ORCHESTRATOR,verified,Runtime pipeline tests verify orchestrator composition,backend/tests/test_runtime_pipeline.py,,"#test #runtime"
REL-APPCHAT-010,DOC-PIPELINE-APP-CHAT,documents,FEAT-APP-CHAT,verified,App chat pipeline doc documents the chain,docs/pipelines/app-chat.md,,"#docs #chat"
REL-APPCHAT-011,FEAT-APP-CHAT,parent_of,UI-CHAT-COGNITIVE-BELT,verified,App chat owns the cognitive belt context strip,PRJ-1277,Research mapping is design rationale only.,"#chat #ui #research_mapped"
REL-APPCHAT-012,COMP-WEB-APP,renders,UI-CHAT-COGNITIVE-BELT,verified,Web shell renders the chat cognitive belt through the chat component,web/src/components/chat.tsx,,"#chat #ui"
REL-APPCHAT-013,TEST-WEB-ROUTE-SMOKE,verifies,UI-CHAT-COGNITIVE-BELT,verified,Route smoke covers authenticated chat route rendering where the belt is present,npm run smoke:routes,Specific usability impact remains a separate UX proof.,"#test #chat #ui"
