"entity_id","type","status","name","path","owner","proof"
"agent:agent-checklists:838457e2d6","agent","implemented","Agent Checklists",".agents/checklists/README.md","Engineering Delivery Lead",".agents/checklists/README.md"
"agent:anti-regression-system:0b625a09b8","agent","implemented","Anti-Regression System",".agents/core/anti-regression.md","Engineering Delivery Lead",".agents/core/anti-regression.md"
"agent:execution-loop:7c9338887f","agent","implemented","Execution Loop",".agents/core/execution-loop.md","Engineering Delivery Lead",".agents/core/execution-loop.md"
"agent:mission-control:469f692225","agent","implemented","Mission Control",".agents/core/mission-control.md","Engineering Delivery Lead",".agents/core/mission-control.md"
"agent:agent-operating-system:9ad64d43fa","agent","implemented","Agent Operating System",".agents/core/operating-system.md","Engineering Delivery Lead",".agents/core/operating-system.md"
"agent:product-delivery-system:12aa56ea8a","agent","implemented","Product Delivery System",".agents/core/product-delivery-system.md","Engineering Delivery Lead",".agents/core/product-delivery-system.md"
"agent:product-intake-and-decision-handshake:33d1a8be55","agent","implemented","Product Intake And Decision Handshake",".agents/core/product-intake-and-decision-handshake.md","Engineering Delivery Lead",".agents/core/product-intake-and-decision-handshake.md"
"agent:project-memory-index:00559ea7ef","agent","implemented","Project Memory Index",".agents/core/project-memory-index.md","Engineering Delivery Lead",".agents/core/project-memory-index.md"
"agent:quality-gates:56a7f77b4d","agent","implemented","Quality Gates",".agents/core/quality-gates.md","Engineering Delivery Lead",".agents/core/quality-gates.md"
"agent:requirements-verification-system:2898f2895d","agent","implemented","Requirements Verification System",".agents/core/requirements-verification-system.md","Engineering Delivery Lead",".agents/core/requirements-verification-system.md"
"agent:backend-builder:a995bd8f68","agent","implemented","backend-builder",".agents/prompts/backend-builder.md","Engineering Delivery Lead",".agents/prompts/backend-builder.md"
"agent:code-reviewer:57ae7ca6fa","agent","implemented","code-reviewer",".agents/prompts/code-reviewer.md","Engineering Delivery Lead",".agents/prompts/code-reviewer.md"
"agent:db-migrations:8d66947e5d","agent","implemented","db-migrations",".agents/prompts/db-migrations.md","Engineering Delivery Lead",".agents/prompts/db-migrations.md"
"agent:frontend-builder:2ff92f1a03","agent","implemented","frontend-builder",".agents/prompts/frontend-builder.md","Engineering Delivery Lead",".agents/prompts/frontend-builder.md"
"agent:ops-release:6317d5413a","agent","implemented","ops-release",".agents/prompts/ops-release.md","Engineering Delivery Lead",".agents/prompts/ops-release.md"
"agent:planner:48fbdeb721","agent","implemented","planner",".agents/prompts/planner.md","Engineering Delivery Lead",".agents/prompts/planner.md"
"agent:product-docs:136c438e04","agent","implemented","product-docs",".agents/prompts/product-docs.md","Engineering Delivery Lead",".agents/prompts/product-docs.md"
"agent:qa-test:f3e389da26","agent","implemented","qa-test",".agents/prompts/qa-test.md","Engineering Delivery Lead",".agents/prompts/qa-test.md"
"agent:security-auditor:e535709dc4","agent","implemented","security-auditor",".agents/prompts/security-auditor.md","Engineering Delivery Lead",".agents/prompts/security-auditor.md"
"agent:agent-reports:7b58cb7ffc","agent","implemented","Agent Reports",".agents/reports/README.md","Engineering Delivery Lead",".agents/reports/README.md"
"agent:procedure:7a91dd9a5d","agent","implemented","Procedure",".agents/skills/_templates/SKILL.template.md","Engineering Delivery Lead",".agents/skills/_templates/SKILL.template.md"
"agent:adopt-template-into-existing-project:ed4a9068a1","agent","implemented","Adopt Template Into Existing Project",".agents/skills/adopt_template_into_existing_project/SKILL.md","Engineering Delivery Lead",".agents/skills/adopt_template_into_existing_project/SKILL.md"
"agent:skills-index:3d9b4af22e","agent","implemented","Skills Index",".agents/skills/README.md","Engineering Delivery Lead",".agents/skills/README.md"
"agent:active-mission-packet:d2ae4b39f6","agent","implemented","Active Mission Packet",".agents/state/active-mission.md","Engineering Delivery Lead",".agents/state/active-mission.md"
"agent:agent-process-evals:963a69f8fc","agent","implemented","Agent Process Evals",".agents/state/agent-evals.md","Engineering Delivery Lead",".agents/state/agent-evals.md"
"agent:current-focus:e2ee6cff2a","agent","implemented","Current Focus",".agents/state/current-focus.md","Engineering Delivery Lead",".agents/state/current-focus.md"
"agent:decision-register:eaf999ed11","agent","implemented","Decision Register",".agents/state/decision-register.md","Engineering Delivery Lead",".agents/state/decision-register.md"
"agent:delivery-map:e913cc5708","agent","implemented","Delivery Map",".agents/state/delivery-map.md","Engineering Delivery Lead",".agents/state/delivery-map.md"
"agent:known-issues:b24c6362c3","agent","implemented","Known Issues",".agents/state/known-issues.md","Engineering Delivery Lead",".agents/state/known-issues.md"
"agent:module-confidence-ledger:9587600f04","agent","implemented","Module Confidence Ledger",".agents/state/module-confidence-ledger.md","Engineering Delivery Lead",".agents/state/module-confidence-ledger.md"
"agent:next-steps:e9aa482dc9","agent","implemented","Next Steps",".agents/state/next-steps.md","Engineering Delivery Lead",".agents/state/next-steps.md"
"agent:quality-attribute-scenarios:98285d184a","agent","implemented","Quality Attribute Scenarios",".agents/state/quality-attribute-scenarios.md","Engineering Delivery Lead",".agents/state/quality-attribute-scenarios.md"
"agent:regression-log:d9f4a60675","agent","implemented","Regression Log",".agents/state/regression-log.md","Engineering Delivery Lead",".agents/state/regression-log.md"
"agent:requirements-verification-matrix:7d8e914ed9","agent","implemented","Requirements Verification Matrix",".agents/state/requirements-verification-matrix.md","Engineering Delivery Lead",".agents/state/requirements-verification-matrix.md"
"agent:responsibility-learning:545fe4d29b","agent","implemented","Responsibility Learning",".agents/state/responsibility-learning.md","Engineering Delivery Lead",".agents/state/responsibility-learning.md"
"agent:risk-register:6f6a0f07f2","agent","implemented","Risk Register",".agents/state/risk-register.md","Engineering Delivery Lead",".agents/state/risk-register.md"
"agent:system-health:2beda4f7c4","agent","implemented","System Health",".agents/state/system-health.md","Engineering Delivery Lead",".agents/state/system-health.md"
"agent:agent-tasks:272eab0fad","agent","implemented","Agent Tasks",".agents/tasks/README.md","Engineering Delivery Lead",".agents/tasks/README.md"
"agent:agent-hierarchy:1768c46e9b","agent","implemented","Agent Hierarchy",".agents/workflows/agent-hierarchy.md","Engineering Delivery Lead",".agents/workflows/agent-hierarchy.md"
"agent:codex-power-use-workflow:84b7cf3380","agent","implemented","Codex Power Use Workflow",".agents/workflows/codex-power-use.md","Engineering Delivery Lead",".agents/workflows/codex-power-use.md"
"agent:documentation-governance:4d93949b61","agent","implemented","Documentation Governance",".agents/workflows/documentation-governance.md","Engineering Delivery Lead",".agents/workflows/documentation-governance.md"
"agent:general-workspace-rules:39cfbef7f4","agent","implemented","General Workspace Rules",".agents/workflows/general.md","Engineering Delivery Lead",".agents/workflows/general.md"
"agent:responsibility-lanes:79f4cde938","agent","implemented","Responsibility Lanes",".agents/workflows/responsibility-lanes.md","Engineering Delivery Lead",".agents/workflows/responsibility-lanes.md"
"agent:subagent-orchestration-workflow:aab6a5d7fc","agent","implemented","Subagent Orchestration Workflow",".agents/workflows/subagent-orchestration.md","Engineering Delivery Lead",".agents/workflows/subagent-orchestration.md"
