"id","type","risk_level","file_path","target_status","target_verification_status","tests_related","docs_related","chain_id","evidence_id","notes"
"PYCLASS-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-AFFECTIVEASSESSOR-DFF10A90","class","medium","backend/app/affective/assessor.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-AFFECTIVECLASSIFIERCLIENT-60272C3A","class","medium","backend/app/affective/assessor.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-AGENTS-CONTEXT-PY-CONTEXTAGENT-1E5E3F0C","class","medium","backend/app/agents/context.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-AGENTS-PERCEPTION-PY-PERCEPTIONAGENT-3361495F","class","medium","backend/app/agents/perception.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-AGENTS-PLANNING-PY-PLANNINGAGENT-F41CA18D","class","medium","backend/app/agents/planning.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-AGENTS-ROLE-PY-ROLEAGENT-50E01AAA","class","medium","backend/app/agents/role.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-HEALTH-RESPONSE-PY-HEALTHRESPONSESECTIONS-6FA1E7ED","class","medium","backend/app/api/health_response.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPAUTHUSERRESPONSE-8035AB64","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATHISTORYENTRY-B91EE2ED","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATHISTORYRESPONSE-E727512D","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATMESSAGEREQUEST-0CEF3709","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATMESSAGERESPONSE-F194E7E8","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCONNECTORCONFIRMATIONREQUEST-98214940","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCONNECTORCONFIRMATIONRESPONSE-D4B30530","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
