id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
FEAT-APP-CHAT,App Chat,feature,verified,cross_layer,chat,app_chat,Authenticated chat from browser UI through runtime response and transcript evidence,docs/pipelines/app-chat.md,"web/src/App.tsx|web/src/lib/api.ts|backend/app/api/routes.py|backend/app/core/runtime.py",,UI-CHAT-COMPOSER|API-APP-CHAT-MESSAGE|SERVICE-RUNTIME-ORCHESTRATOR|MODEL-AION-MEMORY|TEST-CHAT-TRANSCRIPT,DOC-PIPELINE-APP-CHAT,,UI-CHAT-COMPOSER,API-APP-CHAT-MESSAGE,MODEL-AION-MEMORY,TEST-CHAT-TRANSCRIPT,DOC-PIPELINE-APP-CHAT,,high,90,2026-05-24,verified,Seeded from traceability matrix and PRJ-1265 evidence.,"#aviary #feature #chat #verified"
UI-CHAT-COMPOSER,Chat Composer,ui_element,verified,frontend,web,app_chat,Composer surface for text and current attachment context serialization,web/src/App.tsx,"web/src/components/chat.tsx|web/src/lib/chat-transcript.ts",FEAT-APP-CHAT,,COMP-WEB-APP|API-APP-CHAT-MESSAGE,API-APP-CHAT-MESSAGE,COMP-WEB-APP,API-APP-CHAT-MESSAGE,,TEST-CHAT-TRANSCRIPT,DOC-PIPELINE-APP-CHAT,,medium,85,2026-05-24,verified,PRJ-1265 added bounded file picker and attachment chips without backend contract change.,"#aviary #ui #chat #composer"
UI-CHAT-COGNITIVE-BELT,Chat Cognitive Belt,ui_element,verified,frontend,web,app_chat,Compact chat context strip that surfaces selected runtime cues near the transcript without owning runtime behavior,web/src/components/chat.tsx,"web/src/App.tsx|web/src/index.css|web/scripts/route-smoke.mjs",FEAT-APP-CHAT,,COMP-WEB-APP|FEAT-FOREGROUND-RUNTIME,FEAT-APP-CHAT,UI-CHAT-COMPOSER,,MODEL-AION-MEMORY,TEST-WEB-ROUTE-SMOKE|TEST-CHAT-TRANSCRIPT,DOC-FRONTEND-ROUTE-MAP,,medium,85,2026-05-24,verified,Scoped research mapping for a cognitive context strip; neuroscience support is design rationale and not behavior proof.,"#aviary #ui #chat #cognitive_belt #research_mapped"
COMP-WEB-APP,Web App Shell,component,verified,frontend,web,web_shell,React/Vite public and authenticated shell with route rendering and API client usage,web/src/App.tsx,"web/src/routes.ts|web/src/route-manifest.json|web/src/index.css",,UI-CHAT-COMPOSER|PAGE-DASHBOARD|PAGE-PERSONALITY|PAGE-TOOLS|PAGE-SETTINGS,API-APP-ME|API-APP-CHAT-MESSAGE,UI-CHAT-COMPOSER|PAGE-DASHBOARD|PAGE-PERSONALITY|PAGE-TOOLS|PAGE-SETTINGS,UI-CHAT-COMPOSER,API-APP-ME,,TEST-WEB-ROUTE-SMOKE,DOC-FRONTEND-ROUTE-MAP,,medium,90,2026-05-24,verified,Route smoke and web build are recurring validation gates.,"#aviary #frontend #shell"
API-APP-CHAT-MESSAGE,POST /app/chat/message,api_route,verified,api,backend,app_chat,Authenticated app chat ingress route that hands browser chat text into runtime,backend/app/api/routes.py,"backend/app/api/schemas.py|web/src/lib/api.ts",FEAT-APP-CHAT,,API-APP-AUTH|SERVICE-RUNTIME-ORCHESTRATOR,UI-CHAT-COMPOSER,,API-APP-CHAT-MESSAGE,MODEL-AION-MEMORY,TEST-API-ROUTES|TEST-RUNTIME-PIPELINE,DOC-API-REFERENCE|DOC-PIPELINE-APP-CHAT,,high,90,2026-05-24,verified,Current attachment implementation serializes attachment context into existing text payload.,"#aviary #api #chat"
API-APP-AUTH,App Auth API,api_route,verified,api,backend,auth,Registration login logout and current-session API boundary,backend/app/api/routes.py,web/src/lib/api.ts,FEAT-PROFILE-SETTINGS,,MODEL-AION-PROFILE,COMP-WEB-APP,,API-APP-AUTH,MODEL-AION-PROFILE,TEST-API-ROUTES,DOC-API-REFERENCE,,high,90,2026-05-14,verified,Grouped auth endpoints for initial graph dependency mapping.,"#aviary #api #auth"
SERVICE-RUNTIME-ORCHESTRATOR,RuntimeOrchestrator,service,verified,backend,runtime,foreground_runtime,Coordinates canonical AION runtime stages for event and chat turns,backend/app/core/runtime.py,"backend/app/core/runtime_graph.py|backend/app/core/contracts.py|backend/app/core/graph_adapters.py",FEAT-FOREGROUND-RUNTIME,EVENT-APP-CHAT-TURN|SERVICE-MEMORY-REPOSITORY|SERVICE-DELIVERY-ROUTER,API-APP-CHAT-MESSAGE|API-EVENT-INGRESS,SERVICE-MEMORY-REPOSITORY|SERVICE-DELIVERY-ROUTER,,API-APP-CHAT-MESSAGE,MODEL-AION-MEMORY,TEST-RUNTIME-PIPELINE,DOC-RUNTIME-FLOW,AGENT-PERCEPTION|AGENT-CONTEXT|AGENT-PLANNING,high,95,2026-05-14,verified,Canonical stage path is covered by runtime pipeline tests and module confidence ledger.,"#aviary #runtime #service #aion"
SERVICE-MEMORY-REPOSITORY,MemoryRepository,service,verified,backend,memory,memory_flow,Repository boundary for episodic memory retrieval writes profiles conclusions relations and reflection inputs,backend/app/memory/repository.py,"backend/app/memory/models.py|backend/app/memory/embeddings.py",FEAT-MEMORY-FLOW,MODEL-AION-MEMORY|MODEL-AION-PROFILE,SERVICE-RUNTIME-ORCHESTRATOR|MODEL-AION-MEMORY,SERVICE-RUNTIME-ORCHESTRATOR,,API-APP-CHAT-MESSAGE,MODEL-AION-MEMORY|MODEL-AION-PROFILE,TEST-MEMORY-REPOSITORY,DOC-MEMORY-SYSTEM,,high,95,2026-05-14,verified,Memory flow is verified in AVIARY-MEMORY-001.,"#aviary #memory #repository"
MODEL-AION-MEMORY,AionMemory,model,verified,database,memory,memory_flow,Episodic memory and transcript projection source,backend/app/memory/models.py,backend/migrations/versions/20260416_0001_schema_baseline.py,FEAT-MEMORY-FLOW,,MODEL-AION-PROFILE,SERVICE-MEMORY-REPOSITORY,,API-APP-CHAT-MESSAGE,MODEL-AION-MEMORY,TEST-SCHEMA-BASELINE|TEST-MEMORY-REPOSITORY,DOC-DATA-REFERENCE,,high,95,2026-05-14,verified,Core durable memory model.,"#aviary #database #memory"
MODEL-AION-PROFILE,AionProfile,model,verified,database,memory,profile_settings,User profile language timezone Telegram link and tool preference state,backend/app/memory/models.py,"backend/migrations/versions/20260425_0010_add_telegram_link_fields_to_profile.py|backend/migrations/versions/20260425_0011_add_ui_language_to_profile.py|backend/migrations/versions/20260426_0012_add_utc_offset_to_profile.py",FEAT-PROFILE-SETTINGS,,MODEL-AION-MEMORY,SERVICE-MEMORY-REPOSITORY,,API-APP-ME,MODEL-AION-PROFILE,TEST-PREFERENCES|TEST-API-ROUTES,DOC-DATA-REFERENCE,,medium,90,2026-05-14,verified,Profile settings and Telegram linking depend on this model.,"#aviary #database #profile"
